POP_BEST,POP_AVG,QUALS_CNT,SOL_CNT
8,0.036,0,0
8,4.933,0,0
229,5.614,0,0
229,160.801,0,0
229,158.041,0,0
230,160.023,0,0
230,133.249,0,0
230,132.785,0,0
253,131.118,0,0
253,140.207,0,0
253,141.661,0,0
253,141.731,0,0
253,136.56,0,0
253,132.651,0,0
253,128.818,0,0
967,159.685,0,0
1000,608.262,11,11
1000,617.405,556,556
1000,639.506,581,581
1000,644.021,586,586
1000,642.862,575,575
1000,632.009,565,565
1000,633.143,585,585
1000,667.051,616,616
1000,662.226,608,608
1000,676.647,624,624
1000,691.671,644,644
1000,637.07,592,592
1000,655.481,604,604
1000,649.96,610,610
1000,639.136,599,599
1000,642.844,618,618
1000,668.164,639,639
1000,681.366,655,655
1000,677.729,658,658
1000,693.456,673,673
1000,691.447,674,674
1000,681.184,656,656
1000,688.985,661,661
1000,710.429,690,690
1000,717.9,696,696
1000,711.446,688,688
1000,703.29,694,694
1000,705.867,690,690
1000,725.778,713,713
1000,720.861,705,705
1000,750.893,739,739
1000,744.012,732,732
1000,737.024,726,726
1000,762.328,749,749
1000,758.608,746,746
1000,785.389,772,772
1000,769.177,756,756
1000,784.583,770,770
1000,792.81,781,781
1000,780.621,764,764
1000,783.087,766,766
1000,746.582,738,738
1000,781.166,764,764
1000,810.633,797,797
1000,801.654,793,793
1000,792.286,778,778
1000,784.642,768,768
1000,790.469,776,776
1000,771.046,757,757
1000,784.236,771,771
1000,792.177,776,776
1000,778.005,767,767
1000,792.528,784,784
1000,780.202,767,767
1000,775.372,767,767
1000,795.693,788,788
1000,792.853,784,784
1000,780.5,770,770
1000,786.224,770,770
1000,798.984,789,789
1000,797.454,787,787
1000,770.527,761,761
1000,796.88,788,788
1000,777.392,768,768
1000,783.953,778,778
1000,794.251,786,786
1000,774.046,762,762
1000,777.706,772,772
1000,795.439,786,786
1000,783.148,778,778
1000,798.713,789,789
1000,803.051,791,791
1000,796.248,789,789
1000,818.603,816,816
1000,802.137,795,795
1000,822.702,817,817
1000,796.086,787,787
1000,806.485,798,798
1000,827.717,822,822
1000,800.211,793,793
1000,815.636,811,811
1000,810.227,805,805
1000,814.176,810,810
1000,799.193,791,791
1000,800.475,796,796
1000,781.196,775,775
1000,809.219,804,804
1000,784.2,782,782
1000,805.183,802,802
1000,814.24,812,812
1000,809.103,804,804
1000,793.216,785,785
1000,815.863,811,811
1000,806.657,801,801
1000,814.577,811,811
1000,802.227,799,799
1000,819.566,817,817
1000,793.698,791,791
1000,797.617,793,793
1000,812.202,807,807
1000,824.911,816,816
1000,783.171,777,777
1000,838.152,832,832
1000,804.297,799,799
1000,789.128,783,783
1000,812.68,808,808
1000,821.982,815,815
1000,808.004,802,802
1000,802.719,799,799
1000,802.66,797,797
1000,819.665,812,812
1000,803.102,794,794
1000,841.106,839,839
1000,816.236,813,813
1000,817.881,812,812
1000,839.17,833,833
1000,832.662,828,828
1000,823.673,820,820
1000,819.17,816,816
1000,809.156,805,805
1000,814.116,806,806
1000,830.646,824,824
1000,792.753,787,787
1000,848.69,844,844
1000,841.585,837,837
1000,829.69,825,825
1000,827.062,822,822
1000,817.223,815,815
1000,838.427,836,836
1000,828.158,826,826
1000,827.112,824,824
1000,832.145,827,827
1000,831.958,827,827
1000,834.26,829,829
1000,800.293,797,797
1000,821.183,816,816
1000,811.74,808,808
1000,818.103,812,812
1000,826.189,823,823
1000,854.616,846,846
1000,837.739,832,832
1000,832.115,828,828
1000,833.142,828,828
1000,844.178,838,838
1000,846.217,843,843
1000,835.095,826,826
1000,848.627,842,842
1000,851.999,846,846
1000,828.73,827,827
1000,849.834,845,845
1000,827.916,826,826
1000,838.615,836,836
1000,824.691,821,821
1000,824.145,824,824
1000,829.623,829,829
1000,845.564,840,840
1000,847.756,842,842
1000,822.157,817,817
1000,859.551,853,853
1000,811.192,808,808
1000,841.543,838,838
1000,857.645,856,856
1000,842.719,841,841
1000,844.24,840,840
1000,841.676,838,838
1000,864.182,861,861
1000,843.007,838,838
1000,825.821,824,824
1000,838.082,835,835
1000,831.1,828,828
1000,838.913,836,836
1000,836.735,834,834
1000,838.828,834,834
1000,827.704,826,826
1000,832.667,829,829
1000,843.33,838,838
1000,834.223,831,831
1000,832.98,831,831
1000,841.195,840,840
1000,832.856,831,831
1000,857.586,855,855
1000,836.692,835,835
1000,848.16,846,846
1000,842.943,841,841
1000,862.635,861,861
1000,837.035,835,835
1000,843.089,839,839
1000,820.7,819,819
1000,822.712,819,819
1000,824.66,821,821
1000,852.587,850,850
1000,877.1,875,875
1000,848.133,846,846
1000,839.128,832,832
1000,843.098,838,838
1000,824.211,823,823
1000,827.221,824,824
1000,848.712,846,846
1000,843.609,840,840
1000,841.155,839,839
1000,853.575,850,850
1000,823.682,818,818
1000,839.216,838,838
1000,823.604,819,819
1000,840.714,837,837
1000,831.232,829,829
1000,840.18,838,838
1000,855.627,854,854
1000,845.653,843,843
1000,840.712,839,839
1000,833.195,829,829
1000,842.183,841,841
1000,838.156,836,836
1000,849.66,846,846
1000,843.145,842,842
1000,837.29,834,834
1000,829.18,824,824
1000,848.601,846,846
1000,811.746,808,808
1000,837.16,836,836
1000,843.524,840,840
1000,833.042,827,827
1000,867.082,864,864
1000,843.148,842,842
1000,853.394,852,852
1000,836.606,835,835
1000,843.159,840,840
1000,850.169,847,847
1000,844.17,842,842
1000,832.062,829,829
1000,819.121,816,816
1000,821.696,818,818
1000,836.34,834,834
1000,841.008,839,839
1000,840.572,838,838
1000,845.165,844,844
1000,851.631,848,848
1000,837.081,831,831
1000,839.123,836,836
1000,846.132,844,844
1000,834.669,832,832
1000,842.574,840,840
1000,845.634,844,844
1000,839.248,834,834
1000,833.149,831,831
1000,840.167,838,838
1000,853.256,850,850
1000,856.576,854,854
1000,849.597,846,846
1000,841.567,840,840
1000,829.68,827,827
1000,875.058,867,867
1000,863.129,863,863
1000,851.159,851,851
1000,854.578,851,851
1000,831.143,828,828
1000,848.144,844,844
1000,844.58,844,844
1000,857.196,856,856
1000,852.118,851,851
1000,859.116,855,855
1000,875.12,873,873
1000,847.066,845,845
1000,842.843,841,841
1000,860.803,858,858
1000,855.117,853,853
1000,871.091,867,867
1000,851.122,847,847
1000,842.128,839,839
1000,855.144,849,849
1000,851.146,846,846
1000,853.104,851,851
1000,867.668,867,867
1000,848.601,848,848
1000,842.15,840,840
1000,853.596,849,849
1000,848.037,843,843
1000,846.626,845,845
1000,847.126,847,847
1000,868.119,867,867
1000,855.629,853,853
1000,856.617,856,856
1000,853.122,850,850
1000,863.168,860,860
1000,869.532,865,865
1000,833.102,828,828
1000,858.636,853,853
1000,823.164,818,818
1000,854.111,851,851
1000,832.191,831,831
1000,840.166,840,840
1000,862.148,858,858
1000,847.625,844,844
1000,864.121,861,861
1000,877.79,874,874
1000,847.938,843,843
1000,869.041,866,866
1000,840.073,836,836
1000,841.167,839,839
1000,839.644,837,837
1000,842.715,838,838
1000,844.411,838,838
1000,842.14,839,839
1000,853.122,851,851
1000,857.673,856,856
1000,845.195,843,843
1000,861.065,856,856
1000,848.125,845,845
1000,883.155,881,881
1000,848.685,844,844
1000,849.65,849,849
1000,868.93,867,867
1000,861.181,861,861
1000,860.702,859,859
1000,865.148,862,862
1000,863.16,859,859
1000,823.171,820,820
1000,836.173,836,836
1000,836.629,834,834
1000,848.154,847,847
1000,842.661,841,841
1000,844.718,840,840
1000,855.429,852,852
1000,831.161,829,829
1000,863.592,860,860
1000,863.67,862,862
1000,828.061,825,825
1000,856.12,852,852
1000,849.566,846,846
1000,842.127,841,841
1000,850.016,845,845
1000,852.194,849,849
1000,866.153,866,866
1000,888.118,888,888
1000,860.104,856,856
1000,876.215,876,876
1000,865.658,863,863
1000,834.191,833,833
1000,855.115,853,853
1000,858.184,855,855
1000,864.726,862,862
1000,833.52,831,831
1000,859.732,859,859
1000,840.186,839,839
1000,868.519,867,867
1000,857.219,856,856
1000,863.67,862,862
1000,844.171,843,843
1000,847.148,846,846
1000,850.126,847,847
1000,834.156,834,834
1000,851.643,850,850
1000,870.124,870,870
1000,839.757,836,836
1000,863.118,860,860
1000,857.096,854,854
1000,852.625,848,848
1000,886.109,883,883
1000,842.857,841,841
1000,848.691,847,847
1000,863.644,859,859
1000,856.667,854,854
1000,878.416,876,876
1000,867.107,863,863
1000,871.173,869,869
1000,853.15,853,853
1000,845.195,845,845
1000,837.185,835,835
1000,853.153,853,853
1000,865.112,861,861
1000,857.124,856,856
1000,852.7,852,852
1000,859.104,857,857
1000,861.745,861,861
1000,854.621,853,853
1000,844.165,839,839
1000,856.122,854,854
1000,861.671,859,859
1000,864.149,864,864
1000,855.193,855,855
1000,861.149,861,861
1000,857.249,857,857
1000,843.159,842,842
1000,867.158,867,867
1000,860.177,860,860
1000,894.119,891,891
1000,882.092,880,880
1000,883.097,878,878
1000,854.444,853,853
1000,857.736,855,855
1000,867.113,866,866
1000,853.681,853,853
1000,839.678,838,838
1000,873.109,869,869
1000,844.147,842,842
1000,870.049,867,867
1000,849.127,848,848
1000,864.131,862,862
1000,861.145,860,860
1000,870.099,869,869
1000,867.115,863,863
1000,859.571,857,857
1000,865.06,861,861
1000,836.917,835,835
1000,874.607,872,872
1000,855.199,852,852
1000,858.109,856,856
1000,875.963,871,871
1000,866.618,864,864
1000,861.152,858,858
1000,875.568,872,872
1000,885.634,885,885
1000,863.579,862,862
1000,880.089,879,879
1000,864.139,861,861
1000,846.153,844,844
1000,856.603,855,855
1000,859.139,857,857
1000,860.111,857,857
1000,859.289,857,857
1000,862.136,860,860
1000,855.037,848,848
1000,847.676,846,846
1000,845.677,843,843
1000,857.125,854,854
1000,849.639,846,846
1000,868.148,865,865
1000,851.142,847,847
1000,849.218,846,846
1000,866.115,865,865
1000,853.119,853,853
1000,865.199,865,865
1000,872.731,871,871
1000,868.647,866,866
1000,847.221,846,846
1000,863.663,863,863
1000,875.087,872,872
1000,838.181,837,837
1000,873.901,871,871
1000,850.4,848,848
1000,864.609,861,861
1000,881.523,879,879
1000,838.167,837,837
1000,853.092,849,849
1000,849.367,845,845
1000,859.143,856,856
1000,850.372,848,848
1000,850.584,847,847
1000,840.18,838,838
1000,868.749,867,867
1000,864.514,863,863
1000,855.845,855,855
1000,834.108,831,831
1000,843.06,840,840
1000,853.628,853,853
1000,852.119,851,851
1000,862.154,862,862
1000,858.148,858,858
1000,862.659,859,859
1000,871.134,869,869
1000,865.229,862,862
1000,856.152,855,855
1000,836.159,835,835
1000,854.673,854,854
1000,865.15,862,862
1000,841.244,838,838
1000,843.134,841,841
1000,862.143,860,860
1000,865.147,861,861
1000,846.051,842,842
1000,864.122,862,862
1000,871.137,870,870
1000,853.64,850,850
1000,858.166,858,858
1000,854.04,851,851
1000,860.128,857,857
1000,870.626,869,869
1000,859.177,856,856
1000,858.643,858,858
1000,847.237,844,844
1000,867.187,863,863
1000,831.719,828,828
1000,840.181,839,839
1000,855.132,854,854
1000,839.123,835,835
1000,837.169,836,836
1000,845.575,844,844
1000,858.605,854,854
1000,860.169,860,860
1000,862.26,860,860
1000,858.152,855,855
1000,863.156,863,863
1000,851.125,849,849
1000,866.145,865,865
1000,840.199,839,839
1000,878.112,876,876
1000,846.59,843,843
1000,867.181,867,867
1000,844.148,841,841
1000,872.127,869,869
1000,869.156,868,868
1000,867.182,867,867
1000,854.139,853,853
1000,864.135,863,863
1000,867.122,864,864
1000,850.159,848,848
1000,843.211,841,841
1000,843.772,841,841
1000,873.623,870,870
