POP_BEST,POP_AVG,QUALS_CNT,SOL_CNT
8,0.083,0,0
8,3.613,0,0
11,3.876,0,0
11,4.702,0,0
66,5.281,0,0
1000,14.712,5,5
1000,473.962,460,460
1000,734.29,733,733
1000,727.295,723,723
1000,736.431,734,734
1000,706.417,704,704
1000,734.269,732,732
1000,737.766,734,734
1000,709.744,707,707
1000,708.503,704,704
1000,714.212,704,704
1000,720.923,712,712
1000,730.285,728,728
1000,748.163,746,746
1000,735.866,732,732
1000,694.076,691,691
1000,708.755,704,704
1000,711.507,707,707
1000,740.742,734,734
1000,723.411,719,719
1000,710.906,709,709
1000,711.305,711,711
1000,722.186,719,719
1000,714.736,711,711
1000,733.664,728,728
1000,716.824,713,713
1000,745.676,739,739
1000,739.542,733,733
1000,727.275,724,724
1000,752.204,748,748
1000,738.179,735,735
1000,748.693,745,745
1000,735.215,728,728
1000,757.656,752,752
1000,709.384,704,704
1000,707.194,698,698
1000,721.713,715,715
1000,740.853,733,733
1000,742.617,738,738
1000,748.827,739,739
1000,741.198,736,736
1000,731.245,728,728
1000,732.658,726,726
1000,759.297,751,751
1000,724.237,711,711
1000,738.158,719,719
1000,750.633,747,747
1000,756.418,751,751
1000,756.316,755,755
1000,747.252,744,744
1000,728.222,721,721
1000,756.692,753,753
1000,739.728,734,734
1000,771.306,768,768
1000,755.055,750,750
1000,763.727,756,756
1000,747.247,743,743
1000,761.372,751,751
1000,758.958,752,752
1000,734.954,731,731
1000,766.164,766,766
1000,787.632,784,784
1000,754.799,747,747
1000,760.118,755,755
1000,785.102,779,779
1000,743.496,733,733
1000,773.257,765,765
1000,773.672,767,767
1000,765.402,762,762
1000,763.347,757,757
1000,768.094,764,764
1000,762.12,754,754
1000,804.641,785,785
1000,781.178,771,771
1000,777.144,761,761
1000,783.958,757,757
1000,788.179,783,783
1000,778.149,768,768
1000,789.093,778,778
1000,806.945,798,798
1000,804.867,795,795
1000,780.641,776,776
1000,761.733,758,758
1000,783.068,780,780
1000,773.669,767,767
1000,775.801,768,768
1000,761.879,758,758
1000,772.475,765,765
1000,776.141,773,773
1000,787.141,781,781
1000,781.035,773,773
1000,786.666,780,780
1000,781.709,772,772
1000,790.496,782,782
1000,776.27,775,775
1000,777.692,776,776
1000,789.153,783,783
1000,787.627,778,778
1000,770.137,759,759
1000,798.289,781,781
1000,803.66,802,802
1000,779.705,777,777
1000,804.768,803,803
1000,783.132,780,780
1000,772.148,767,767
1000,808.626,805,805
1000,802.807,792,792
1000,782.117,773,773
1000,826.423,817,817
1000,788.062,775,775
1000,782.271,782,782
1000,800.216,798,798
1000,792.156,791,791
1000,818.091,813,813
1000,792.114,789,789
1000,799.637,793,793
1000,808.741,805,805
1000,794.819,792,792
1000,790.132,784,784
1000,813.76,808,808
1000,782.123,776,776
1000,817.011,813,813
1000,800.117,798,798
1000,773.019,770,770
1000,806.264,802,802
1000,782.131,780,780
1000,770.175,764,764
1000,784.356,783,783
1000,808.127,805,805
1000,816.158,811,811
1000,809.596,805,805
1000,789.653,787,787
1000,793.87,790,790
1000,799.825,795,795
1000,821.113,820,820
1000,789.255,785,785
1000,809.722,806,806
1000,798.174,788,788
1000,811.586,798,798
1000,794.164,792,792
1000,800.151,797,797
1000,814.032,809,809
1000,824.122,823,823
1000,813.109,811,811
1000,791.161,787,787
1000,822.136,820,820
1000,808.342,801,801
1000,789.143,787,787
1000,824.135,823,823
1000,821.641,819,819
1000,826.106,822,822
1000,833.134,830,830
1000,823.142,820,820
1000,805.142,800,800
1000,808.103,805,805
1000,790.248,786,786
1000,829.91,826,826
1000,834.53,827,827
1000,818.175,813,813
1000,808.123,803,803
1000,802.486,800,800
1000,791.168,788,788
1000,813.32,811,811
1000,817.182,813,813
1000,810.317,805,805
1000,805.306,799,799
1000,827.207,823,823
1000,826.096,826,826
1000,818.163,818,818
1000,814.147,813,813
1000,806.15,805,805
1000,817.632,815,815
1000,813.186,811,811
1000,825.816,823,823
1000,840.6,836,836
1000,840.118,837,837
1000,817.112,810,810
1000,813.2,806,806
1000,839.162,835,835
1000,826.671,824,824
1000,824.106,820,820
1000,808.205,806,806
1000,829.202,829,829
1000,822.264,820,820
1000,839.109,833,833
1000,842.634,835,835
1000,823.585,818,818
1000,804.292,801,801
1000,820.135,819,819
1000,831.1,831,831
1000,827.084,825,825
1000,809.154,806,806
1000,820.098,814,814
1000,817.353,817,817
1000,812.144,812,812
1000,807.212,805,805
1000,825.622,823,823
1000,820.162,818,818
1000,820.136,817,817
1000,829.13,827,827
1000,812.289,808,808
1000,826.358,823,823
1000,814.129,811,811
1000,824.22,820,820
1000,831.127,831,831
1000,838.413,838,838
1000,863.106,861,861
1000,823.371,822,822
1000,839.121,838,838
1000,816.152,815,815
1000,798.737,797,797
1000,822.607,820,820
1000,839.136,838,838
1000,843.153,843,843
1000,807.371,806,806
1000,809.192,808,808
1000,854.09,853,853
1000,834.759,831,831
1000,842.567,840,840
1000,824.474,822,822
1000,829.219,823,823
1000,826.137,826,826
1000,811.153,809,809
1000,824.338,824,824
1000,850.138,849,849
1000,834.119,829,829
1000,829.11,821,821
1000,845.084,835,835
1000,823.16,820,820
1000,825.127,824,824
1000,806.207,805,805
1000,813.134,809,809
1000,820.561,813,813
1000,837.195,832,832
1000,798.168,796,796
1000,829.106,826,826
1000,845.078,844,844
1000,824.124,823,823
1000,828.126,824,824
1000,850.143,849,849
1000,828.175,827,827
1000,837.478,835,835
1000,838.078,834,834
1000,830.155,827,827
1000,836.164,836,836
1000,839.201,838,838
1000,821.467,818,818
1000,857.133,857,857
1000,850.145,850,850
1000,859.117,857,857
1000,841.673,839,839
1000,815.14,812,812
1000,839.305,836,836
1000,843.122,840,840
1000,834.628,833,833
1000,811.614,810,810
1000,840.157,837,837
1000,831.272,829,829
1000,834.161,833,833
1000,832.633,829,829
1000,848.597,844,844
1000,831.777,820,820
1000,817.892,814,814
1000,847.628,847,847
1000,839.136,837,837
1000,833.148,831,831
1000,852.109,846,846
1000,849.081,842,842
1000,834.132,833,833
1000,822.159,821,821
1000,811.244,811,811
1000,829.558,829,829
1000,858.119,855,855
1000,834.179,832,832
1000,832.117,828,828
1000,821.738,819,819
1000,831.176,831,831
1000,842.147,842,842
1000,824.222,824,824
1000,861.395,861,861
1000,835.269,832,832
1000,857.115,856,856
1000,839.122,838,838
1000,838.129,836,836
1000,842.09,839,839
1000,837.142,834,834
1000,823.609,823,823
1000,821.069,819,819
1000,867.587,865,865
1000,834.11,831,831
1000,839.383,838,838
1000,826.153,826,826
1000,833.168,832,832
1000,841.119,838,838
1000,858.107,856,856
1000,851.136,850,850
1000,854.122,852,852
1000,853.097,848,848
1000,840.119,839,839
1000,825.149,825,825
1000,850.116,846,846
1000,857.107,856,856
1000,839.579,838,838
1000,826.156,825,825
1000,856.046,853,853
1000,837.148,836,836
1000,846.137,842,842
1000,832.119,831,831
1000,836.615,834,834
1000,829.136,827,827
1000,835.1,828,828
1000,835.115,834,834
1000,857.034,856,856
1000,852.098,850,850
1000,832.131,828,828
1000,830.162,828,828
1000,857.072,856,856
1000,844.077,842,842
1000,838.111,837,837
1000,846.158,842,842
1000,855.098,855,855
1000,858.088,857,857
1000,840.124,840,840
1000,834.121,832,832
1000,845.132,845,845
1000,849.121,847,847
1000,844.126,839,839
1000,851.125,849,849
1000,840.128,835,835
1000,848.496,843,843
1000,845.13,843,843
1000,844.05,839,839
1000,850.152,849,849
1000,830.175,830,830
1000,832.14,831,831
1000,864.467,864,864
1000,846.127,846,846
1000,823.143,821,821
1000,844.577,836,836
1000,832.126,826,826
1000,832.152,832,832
1000,843.146,843,843
1000,857.104,857,857
1000,843.118,843,843
1000,840.106,838,838
1000,856.604,855,855
1000,849.111,847,847
1000,812.214,811,811
1000,833.149,833,833
1000,831.123,830,830
1000,848.129,848,848
1000,842.122,841,841
1000,855.638,854,854
1000,845.132,843,843
1000,847.773,846,846
1000,843.142,840,840
1000,848.109,846,846
1000,851.168,848,848
1000,841.209,835,835
1000,835.165,834,834
1000,849.655,847,847
1000,848.068,844,844
1000,833.565,833,833
1000,824.584,821,821
1000,850.543,842,842
1000,852.461,845,845
1000,841.838,837,837
1000,852.111,842,842
1000,847.114,846,846
1000,868.089,868,868
1000,831.129,829,829
1000,852.36,850,850
1000,853.145,848,848
1000,857.126,857,857
1000,852.135,852,852
1000,864.093,864,864
1000,836.225,836,836
1000,859.096,859,859
1000,853.102,852,852
1000,849.11,846,846
1000,835.113,835,835
1000,846.13,846,846
1000,858.123,858,858
1000,840.12,839,839
1000,853.102,853,853
1000,850.106,848,848
1000,858.128,857,857
1000,852.086,848,848
1000,836.144,834,834
1000,837.645,835,835
1000,854.093,851,851
1000,857.1,856,856
1000,845.46,843,843
1000,833.214,831,831
1000,857.122,855,855
1000,850.146,849,849
1000,842.666,841,841
1000,851.118,851,851
1000,859.099,858,858
1000,832.191,831,831
1000,860.149,859,859
1000,860.124,860,860
1000,858.142,858,858
1000,846.338,844,844
1000,864.099,864,864
1000,853.13,851,851
1000,839.141,838,838
1000,876.104,875,875
1000,863.115,863,863
1000,841.129,840,840
1000,856.165,855,855
1000,860.09,858,858
1000,853.119,853,853
1000,840.09,838,838
1000,859.117,856,856
1000,879.074,877,877
1000,865.098,864,864
1000,843.136,842,842
1000,848.139,848,848
1000,859.177,859,859
1000,870.079,870,870
1000,856.159,855,855
1000,883.099,883,883
1000,856.268,856,856
1000,861.106,860,860
1000,833.108,833,833
1000,839.124,839,839
1000,850.142,850,850
1000,857.097,857,857
1000,853.265,851,851
1000,846.139,843,843
1000,840.165,840,840
1000,848.194,848,848
1000,839.134,839,839
1000,845.103,845,845
1000,849.655,848,848
1000,848.854,847,847
1000,873.106,872,872
1000,868.116,868,868
1000,845.121,845,845
1000,854.243,854,854
1000,842.108,840,840
1000,858.315,856,856
1000,855.133,855,855
1000,860.125,860,860
1000,847.14,847,847
1000,836.154,835,835
1000,842.094,838,838
1000,877.107,876,876
1000,873.078,872,872
1000,846.133,844,844
1000,850.122,849,849
1000,867.115,867,867
1000,844.102,843,843
1000,846.174,845,845
1000,851.675,851,851
1000,841.6,841,841
1000,855.172,855,855
1000,853.123,853,853
1000,867.158,867,867
1000,859.623,858,858
1000,870.131,869,869
1000,843.097,843,843
1000,844.114,844,844
1000,861.146,860,860
1000,852.156,851,851
1000,868.234,868,868
1000,854.122,852,852
1000,852.083,851,851
1000,835.147,834,834
1000,858.133,857,857
1000,850.13,847,847
1000,853.118,849,849
1000,871.103,869,869
1000,866.144,865,865
1000,864.104,864,864
1000,865.085,864,864
1000,873.136,873,873
1000,858.153,857,857
1000,857.12,857,857
1000,863.122,863,863
1000,863.576,863,863
1000,851.135,851,851
1000,864.124,861,861
1000,857.137,854,854
1000,863.11,861,861
1000,872.124,870,870
1000,872.088,872,872
1000,851.168,851,851
1000,868.638,868,868
1000,866.108,864,864
1000,852.142,852,852
1000,852.116,851,851
1000,866.123,866,866
1000,851.148,851,851
1000,867.102,867,867
1000,858.116,857,857
1000,851.097,851,851
1000,860.111,858,858
1000,842.369,842,842
1000,863.126,862,862
1000,854.54,853,853
1000,869.36,868,868
1000,873.359,873,873
1000,867.112,867,867
1000,871.093,871,871
1000,873.464,873,873
1000,848.152,846,846
1000,843.136,843,843
1000,847.15,845,845
1000,852.123,848,848
1000,865.135,864,864
1000,867.121,866,866
1000,857.148,857,857
1000,882.616,881,881
1000,862.079,860,860
1000,851.149,848,848
1000,876.109,872,872
1000,857.162,857,857
1000,856.105,856,856
1000,854.15,851,851
1000,860.129,859,859
1000,862.138,861,861
1000,856.133,855,855
1000,867.098,867,867
1000,864.095,864,864
1000,848.145,848,848
1000,858.163,858,858
1000,855.126,854,854
1000,845.144,845,845
1000,859.13,859,859
1000,863.14,862,862
1000,853.135,852,852
1000,850.119,849,849
1000,858.113,857,857
1000,870.008,868,868
1000,845.107,844,844
1000,860.089,857,857
1000,875.112,875,875
1000,869.116,868,868
1000,855.111,854,854
1000,886.119,886,886
1000,861.122,861,861
1000,838.123,838,838
1000,851.131,850,850
1000,860.133,859,859
1000,864.101,863,863
1000,846.191,843,843
1000,856.65,855,855
1000,865.126,864,864
1000,876.083,876,876
1000,855.385,855,855
1000,859.128,859,859
1000,857.398,857,857
1000,878.082,876,876
1000,865.375,864,864
1000,867.075,867,867
1000,880.133,879,879
1000,859.135,859,859
1000,871.117,871,871
1000,848.162,848,848
1000,866.096,863,863
1000,869.091,867,867
1000,844.127,843,843
1000,860.111,860,860
1000,834.137,834,834
1000,860.131,860,860
1000,872.158,871,871
1000,861.157,861,861
1000,859.119,859,859
1000,858.177,858,858
1000,850.173,850,850
1000,869.124,869,869
1000,865.097,864,864
1000,862.106,862,862
1000,883.132,882,882
1000,869.096,868,868
1000,862.117,862,862
1000,850.633,850,850
1000,849.123,847,847
1000,837.607,837,837
1000,859.155,859,859
1000,871.145,871,871
1000,853.189,853,853
1000,873.118,873,873
1000,863.092,862,862
1000,869.095,868,868
1000,871.117,871,871
1000,859.127,859,859
1000,864.138,863,863
1000,863.093,862,862
1000,848.117,846,846
1000,844.151,843,843
1000,854.134,854,854
1000,856.168,855,855
1000,875.134,875,875
1000,854.131,854,854
1000,861.149,859,859
1000,859.181,858,858
1000,858.134,856,856
1000,853.098,853,853
1000,867.164,867,867
1000,869.666,869,869
1000,864.147,864,864
1000,873.092,873,873
1000,844.195,842,842
1000,849.119,849,849
1000,847.152,847,847
1000,865.159,865,865
1000,870.136,870,870
1000,873.111,873,873
1000,872.153,871,871
1000,860.117,856,856
1000,877.101,876,876
1000,870.135,869,869
1000,865.141,865,865
1000,876.097,875,875
1000,872.14,870,870
1000,854.123,852,852
1000,843.528,842,842
1000,866.128,862,862
1000,847.12,847,847
1000,855.159,854,854
1000,878.13,878,878
1000,880.085,879,879
1000,869.111,869,869
1000,853.293,852,852
1000,860.118,860,860
1000,854.135,853,853
1000,862.158,861,861
1000,869.652,868,868
1000,849.146,848,848
1000,862.131,860,860
1000,851.119,850,850
1000,855.111,855,855
1000,860.171,860,860
1000,881.109,880,880
1000,854.319,849,849
1000,859.156,856,856
1000,876.133,870,870
1000,861.126,856,856
1000,871.144,871,871
1000,863.176,863,863
1000,842.149,841,841
1000,863.155,860,860
1000,865.146,859,859
1000,875.125,866,866
1000,858.119,852,852
1000,854.119,848,848
1000,858.079,848,848
1000,864.123,864,864
1000,873.11,872,872
1000,848.144,847,847
1000,868.129,866,866
1000,853.64,851,851
1000,844.127,839,839
1000,873.103,870,870
1000,862.122,860,860
1000,867.139,866,866
1000,856.099,854,854
1000,863.129,859,859
1000,865.112,860,860
1000,876.088,873,873
1000,853.119,851,851
1000,846.136,844,844
1000,845.151,843,843
1000,878.117,874,874
1000,871.477,870,870
1000,860.124,860,860
1000,847.402,846,846
1000,853.132,853,853
1000,862.128,860,860
1000,861.101,859,859
1000,862.085,862,862
1000,864.656,864,864
1000,863.14,863,863
1000,842.173,842,842
1000,858.105,857,857
1000,867.152,867,867
1000,853.146,852,852
1000,859.157,859,859
1000,845.149,845,845
1000,866.14,866,866
1000,869.16,869,869
1000,866.6,866,866
1000,863.139,863,863
1000,874.118,873,873
1000,865.147,861,861
1000,862.549,860,860
1000,862.132,862,862
1000,871.16,870,870
1000,860.126,859,859
1000,861.119,860,860
1000,866.156,864,864
1000,870.492,865,865
1000,847.149,846,846
1000,868.13,867,867
1000,852.127,850,850
1000,850.097,848,848
1000,865.1,862,862
1000,843.419,843,843
1000,866.133,864,864
1000,864.137,862,862
1000,872.136,870,870
1000,871.154,871,871
1000,861.577,860,860
1000,869.134,865,865
1000,870.121,868,868
1000,861.106,861,861
1000,858.126,857,857
1000,858.135,856,856
1000,872.107,872,872
1000,845.154,845,845
1000,869.152,869,869
1000,855.151,855,855
1000,846.134,842,842
1000,870.129,870,870
1000,840.176,839,839
1000,859.129,858,858
1000,855.14,854,854
1000,861.354,860,860
1000,849.633,848,848
1000,873.122,872,872
1000,877.132,873,873
1000,854.142,854,854
1000,857.122,856,856
1000,864.137,864,864
1000,860.136,858,858
1000,862.364,862,862
1000,840.615,838,838
1000,848.13,847,847
1000,858.364,857,857
1000,844.123,843,843
1000,865.134,865,865
1000,860.125,860,860
1000,858.131,858,858
1000,862.116,858,858
1000,874.109,872,872
1000,869.102,867,867
1000,855.441,855,855
1000,841.166,841,841
1000,865.11,862,862
1000,860.101,857,857
1000,856.096,850,850
1000,869.083,861,861
1000,870.064,862,862
1000,869.126,868,868
1000,864.11,863,863
1000,851.051,847,847
1000,837.115,833,833
1000,850.535,846,846
1000,853.121,844,844
1000,872.123,866,866
1000,859.089,850,850
1000,876.12,869,869
1000,874.162,869,869
1000,859.122,858,858
1000,839.202,839,839
1000,826.14,825,825
1000,874.113,871,871
1000,856.129,855,855
1000,850.128,846,846
1000,874.112,873,873
1000,864.172,861,861
1000,854.189,848,848
1000,851.123,851,851
1000,864.169,862,862
1000,828.169,827,827
1000,860.066,858,858
1000,871.09,870,870
1000,841.133,840,840
1000,849.148,847,847
1000,856.643,856,856
1000,852.589,852,852
1000,861.11,861,861
1000,866.063,865,865
1000,866.11,865,865
1000,851.142,849,849
1000,866.088,866,866
1000,842.133,841,841
1000,865.177,863,863
1000,862.148,862,862
1000,862.108,858,858
1000,865.134,861,861
1000,856.149,856,856
1000,854.114,854,854
1000,870.102,869,869
1000,865.431,863,863
1000,861.131,861,861
1000,873.081,872,872
1000,868.119,866,866
1000,863.123,863,863
1000,856.134,856,856
1000,872.123,868,868
1000,870.117,864,864
1000,861.105,859,859
1000,850.546,845,845
1000,848.259,845,845
1000,835.136,835,835
1000,863.111,863,863
1000,850.263,846,846
1000,868.103,866,866
1000,846.112,844,844
1000,864.095,861,861
1000,870.123,865,865
1000,867.565,859,859
1000,863.15,860,860
1000,853.119,851,851
