POP_BEST,POP_AVG,QUALS_CNT,SOL_CNT
8,0.056,0,0
8,4.616,0,0
1000,6.822,2,2
1000,801.225,795,795
1000,779.277,778,778
1000,795.777,792,792
1000,804.829,802,802
1000,794.254,791,791
1000,791.074,785,785
1000,775.242,770,770
1000,806.379,802,802
1000,777.288,773,773
1000,784.781,780,780
1000,781.357,781,781
1000,815.732,814,814
1000,776.802,768,768
1000,778.339,774,774
1000,794.333,789,789
1000,778.661,772,772
1000,790.282,786,786
1000,804.511,800,800
1000,759.292,757,757
1000,812.202,809,809
1000,792.104,789,789
1000,798.77,797,797
1000,811.173,807,807
1000,787.317,786,786
1000,767.065,763,763
1000,792.632,787,787
1000,790.203,786,786
1000,770.772,769,769
1000,809.177,805,805
1000,809.696,802,802
1000,825.689,819,819
1000,832.656,829,829
1000,788.962,784,784
1000,808.548,800,800
1000,820.269,817,817
1000,815.159,810,809
1000,811.234,807,807
1000,810.78,810,809
1000,822.292,818,817
1000,820.994,811,811
1000,815.661,812,812
1000,819.177,817,817
1000,809.171,801,801
1000,807.691,803,803
1000,821.162,814,814
1000,815.654,811,811
1000,798.705,795,795
1000,809.84,805,805
1000,810.435,805,805
1000,825.585,819,819
1000,848.619,846,846
1000,817.329,815,815
1000,829.282,825,825
1000,831.262,829,829
1000,797.741,795,795
1000,800.658,789,789
1000,823.599,821,821
1000,821.72,818,818
1000,822.692,821,821
1000,856.936,853,853
1000,833.427,831,831
1000,830.659,824,824
1000,814.386,808,808
1000,820.724,817,817
1000,834.606,832,832
1000,829.938,826,826
1000,827.685,824,824
1000,824.534,819,819
1000,814.062,808,808
1000,842.418,836,836
1000,837.698,836,836
1000,818.578,811,811
1000,817.235,810,810
1000,826.185,825,825
1000,822.603,816,816
1000,826.147,821,821
1000,834.139,831,831
1000,831.138,828,828
1000,808.111,803,803
1000,832.196,830,830
1000,834.677,829,829
1000,815.217,810,810
1000,828.136,824,824
1000,842.063,837,837
1000,813.157,808,808
1000,831.63,828,828
1000,827.182,819,819
1000,819.187,812,812
1000,838.714,836,836
1000,837.556,832,832
1000,850.664,845,845
1000,833.69,832,832
1000,848.883,846,846
1000,854.75,848,848
1000,832.33,830,830
1000,825.641,824,824
1000,834.201,833,833
1000,847.609,843,843
1000,848.133,843,843
1000,839.077,836,836
1000,850.111,847,847
1000,851.091,846,846
1000,818.616,815,815
1000,840.171,835,835
1000,838.214,837,837
1000,840.003,836,836
1000,845.637,838,838
1000,832.655,830,830
1000,853.109,848,848
1000,847.175,844,844
1000,813.136,808,808
1000,836.631,829,829
1000,863.136,860,860
1000,822.634,817,817
1000,845.135,841,841
1000,835.118,831,831
1000,835.12,829,829
1000,864.687,863,863
1000,843.1,840,840
1000,837.154,833,833
1000,847.585,843,843
1000,850.147,848,848
1000,830.002,828,828
1000,836.625,830,830
1000,837.698,832,832
1000,835.975,830,830
1000,842.692,842,842
1000,838.143,835,835
1000,845.183,842,842
1000,846.166,842,842
1000,837.188,836,836
1000,855.03,852,852
1000,851.159,847,846
1000,859.681,853,853
1000,847.156,843,843
1000,840.114,835,835
1000,870.111,865,865
1000,835.623,828,828
1000,834.672,833,833
1000,843.633,840,840
1000,850.165,847,847
1000,838.951,833,833
1000,835.114,833,833
1000,848.147,848,848
1000,843.207,840,840
1000,823.182,820,820
1000,843.656,840,840
1000,837.152,834,833
1000,855.253,849,848
1000,841.125,838,838
1000,842.179,839,839
1000,857.07,853,853
1000,840.119,834,834
1000,857.124,852,852
1000,833.172,830,830
1000,840.161,838,838
1000,834.719,831,831
1000,839.655,835,835
