POP_BEST,POP_AVG,QUALS_CNT,SOL_CNT
7,0.05,0,0
7,2.081,0,0
8,4.766,0,0
997,6.563,0,0
997,141.184,0,0
1000,712.33,6,6
1000,720.58,290,290
1000,704.087,574,574
1000,701.169,620,620
1000,712.317,608,608
1000,706.152,616,616
1000,716.544,599,599
1000,732.514,602,602
1000,722.554,573,573
1000,712.634,540,540
1000,713.887,683,683
1000,735.047,672,672
1000,711.916,669,669
1000,728.947,698,698
1000,712.735,679,679
1000,724.394,685,685
1000,705.315,667,667
1000,717.318,673,673
1000,724.979,683,683
1000,738.234,686,686
1000,739.11,671,671
1000,734.445,710,710
1000,713.755,685,685
1000,739.365,699,699
1000,729.734,676,676
1000,722.405,670,670
1000,703.637,655,655
1000,708.163,655,655
1000,745.147,662,662
1000,732.953,645,645
1000,747.581,658,658
1000,711.405,634,634
1000,732.959,666,666
1000,742.103,672,672
1000,754.286,664,664
1000,730.741,628,628
1000,743.449,641,641
1000,726.258,672,672
1000,742.023,688,688
1000,747.521,726,726
1000,748.735,707,707
1000,756.132,706,706
1000,761.376,704,704
1000,761.875,735,735
1000,748.766,720,720
1000,787.324,766,766
1000,730.099,693,693
1000,763.968,752,752
1000,755.22,733,733
1000,741.772,711,711
1000,773.776,748,748
1000,748.966,718,718
1000,745.265,707,707
1000,749.405,718,718
1000,775.075,751,751
1000,765.249,742,742
1000,777.217,740,740
1000,767.578,719,719
1000,763.856,720,720
1000,751.789,712,712
1000,752.356,713,713
1000,747.606,714,714
1000,744.777,726,726
1000,735.379,712,712
1000,769.734,757,757
1000,769.802,750,750
1000,782.733,760,760
1000,764.979,728,728
1000,788.284,764,764
1000,745.149,726,726
1000,768.335,764,764
1000,782.745,777,777
1000,774.813,767,767
1000,788.254,779,779
1000,771.101,760,760
1000,759.881,751,751
1000,762.185,749,749
1000,772.355,760,760
1000,755.816,737,737
1000,761.523,752,752
1000,764.489,748,748
1000,753.857,736,736
1000,762.754,734,734
1000,775.723,749,749
1000,764.342,745,745
1000,746.309,725,725
1000,782.724,750,750
1000,794.3,766,766
1000,807.781,802,802
1000,765.403,756,756
1000,783.851,770,770
1000,761.899,747,747
1000,786.847,767,767
1000,788.748,771,771
1000,767.553,749,749
1000,773.561,764,764
1000,774.32,761,761
1000,785.259,770,770
1000,788.758,767,767
1000,805.14,773,772
1000,799.103,786,784
1000,802.688,791,789
1000,785.33,769,768
1000,771.805,742,742
1000,797.238,770,770
1000,790.442,760,760
1000,786.239,775,775
1000,786.264,770,770
1000,768.331,754,754
1000,793.017,775,775
1000,774.431,752,752
1000,806.994,802,802
1000,785.554,778,778
1000,801.35,791,791
1000,764.879,757,757
1000,770.01,763,763
1000,785.421,780,780
1000,811.235,804,804
1000,786.355,780,780
1000,786.321,778,778
1000,806.342,796,796
1000,806.213,798,798
1000,776.784,766,766
1000,816.149,799,799
1000,823.962,808,808
1000,794.734,774,774
1000,821.239,807,807
1000,809.295,802,802
1000,808.84,803,803
1000,800.544,796,796
1000,798.945,793,793
1000,826.157,813,813
1000,827.871,807,807
1000,805.438,789,789
1000,828.849,814,814
1000,825.262,816,816
1000,821.617,817,817
1000,825.25,818,818
1000,812.231,802,802
1000,821.802,811,811
1000,826.315,815,815
1000,793.489,773,773
1000,835.297,809,809
1000,834.014,800,800
1000,840.265,821,821
1000,813.776,797,797
1000,838.191,836,836
1000,802.701,795,795
1000,817.398,809,809
1000,819.286,816,816
1000,814.102,804,804
1000,837.253,827,827
1000,802.371,791,791
1000,800.287,796,796
1000,807.795,805,805
1000,837.392,835,835
1000,837.26,832,832
1000,853.837,849,849
1000,858.183,850,850
1000,840.2,833,833
1000,838.58,832,832
1000,811.362,805,805
1000,844.046,837,837
1000,823.308,820,820
1000,824.162,821,821
1000,824.837,817,817
1000,851.966,850,850
1000,852.455,849,849
1000,835.365,832,832
1000,844.689,840,840
1000,837.091,832,832
1000,862.888,860,860
1000,829.746,826,826
1000,838.821,836,836
1000,826.296,825,825
1000,828.83,827,827
1000,846.293,845,845
1000,830.35,827,827
1000,826.591,825,825
