0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
1,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1
2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,1
3,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,3,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2
4,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,3,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,1,3,2,2,2,1,3,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2
5,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,3,1,2,2,1,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,1,3,2,2,2,1,3,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2
6,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,1,2,1,2,3,2,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,3,2,2,2,1,3,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,3,2,2,3,1,2,1,1,2,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,3,2,2,2,1,3,2,2,2,2,1,3,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2
8,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,3,2,2,3,1,2,1,1,2,2,2,2,3,2,1,1,2,2,2,1,1,2,1,3,2,1,1,3,2,2,2,1,3,2,2,2,2,1,3,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2
9,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,3,1,2,2,1,2,2,2,2,3,3,1,1,2,2,2,1,1,2,1,3,2,1,1,3,2,2,2,2,3,2,2,2,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
10,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,3,1,2,1,1,2,2,2,2,3,3,1,1,2,2,2,2,1,2,1,2,2,1,1,3,2,2,2,2,3,2,2,2,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
